modelId,modelLabel,outcomeMetricId,termId,termLabel,predictorId,termFamily,level,baseline,beta,ciLow,ciHigh,direction
aiReadinessModel,AI readiness associations,aiReadiness,intercept,Intercept,intercept,predictor,,,38.91,30.17,50.71,positive
aiReadinessModel,AI readiness associations,aiReadiness,schoolType:Private,School type: Private vs Public,schoolType,predictor,Private,Public,3.28,-3.54,11.67,crosses_zero
aiReadinessModel,AI readiness associations,aiReadiness,teachingBand:Middle,Teaching band: Middle vs Elementary,teachingBand,predictor,Middle,Elementary,-7.42,-16.24,2.9,crosses_zero
aiReadinessModel,AI readiness associations,aiReadiness,teachingBand:High School,Teaching band: High School vs Elementary,teachingBand,predictor,High School,Elementary,-8.95,-16.84,-1.41,negative
aiReadinessModel,AI readiness associations,aiReadiness,teachingBand:Multi-level,Teaching band: Multi-level vs Elementary,teachingBand,predictor,Multi-level,Elementary,-7.42,-17.22,1.69,crosses_zero
aiReadinessModel,AI readiness associations,aiReadiness,teachingBand:Other,Teaching band: Other vs Elementary,teachingBand,predictor,Other,Elementary,1.16,-15.65,18.1,crosses_zero
aiReadinessModel,AI readiness associations,aiReadiness,experienceBand:4-6 years,Teaching experience: 4-6 years vs 0-3 years,experienceBand,predictor,4-6 years,0-3 years,8.82,-0.91,18.56,crosses_zero
aiReadinessModel,AI readiness associations,aiReadiness,experienceBand:7-10 years,Teaching experience: 7-10 years vs 0-3 years,experienceBand,predictor,7-10 years,0-3 years,8.13,-0.4,17.34,crosses_zero
aiReadinessModel,AI readiness associations,aiReadiness,experienceBand:11-15 years,Teaching experience: 11-15 years vs 0-3 years,experienceBand,predictor,11-15 years,0-3 years,0.78,-9.54,9.31,crosses_zero
aiReadinessModel,AI readiness associations,aiReadiness,experienceBand:16-20 years,Teaching experience: 16-20 years vs 0-3 years,experienceBand,predictor,16-20 years,0-3 years,4.31,-5.85,14.56,crosses_zero
aiReadinessModel,AI readiness associations,aiReadiness,experienceBand:20 + years,Teaching experience: 20 + years vs 0-3 years,experienceBand,predictor,20 + years,0-3 years,2.71,-7.19,12.13,crosses_zero
aiReadinessModel,AI readiness associations,aiReadiness,mediaArtsBackground:Yes,Formal media arts background: Yes vs No,mediaArtsBackground,predictor,Yes,No,10.07,2.49,16.33,positive
aiReadinessModel,AI readiness associations,aiReadiness,aiUsageStatus:Active classroom AI use,"AI usage status: Active classroom AI use vs Interested, not yet using",aiUsageStatus,predictor,Active classroom AI use,"Interested, not yet using",35.38,26.57,42.74,positive
aiReadinessModel,AI readiness associations,aiReadiness,aiUsageStatus:Personal AI use,"AI usage status: Personal AI use vs Interested, not yet using",aiUsageStatus,predictor,Personal AI use,"Interested, not yet using",28.57,18.44,36.58,positive
aiReadinessModel,AI readiness associations,aiReadiness,aiUsageStatus:Other,"AI usage status: Other vs Interested, not yet using",aiUsageStatus,predictor,Other,"Interested, not yet using",3.45,-12.54,16.48,crosses_zero
aiReadinessModel,AI readiness associations,aiReadiness,state:TX,State: Texas vs California,state,state,TX,CA,-2.42,-13.63,8.68,crosses_zero
aiReadinessModel,AI readiness associations,aiReadiness,state:FL,State: Florida vs California,state,state,FL,CA,6.92,-1.8,14.1,crosses_zero
aiReadinessModel,AI readiness associations,aiReadiness,state:NY,State: New York vs California,state,state,NY,CA,10.94,0.42,19.91,positive
aiReadinessModel,AI readiness associations,aiReadiness,state:GA,State: Georgia vs California,state,state,GA,CA,3.27,-12.05,17.26,crosses_zero
aiReadinessModel,AI readiness associations,aiReadiness,state:OH,State: Ohio vs California,state,state,OH,CA,8.21,-0.56,16.05,crosses_zero
aiReadinessModel,AI readiness associations,aiReadiness,state:IL,State: Illinois vs California,state,state,IL,CA,10.58,-1.77,19.1,crosses_zero
aiReadinessModel,AI readiness associations,aiReadiness,state:MD,State: Maryland vs California,state,state,MD,CA,2.25,-8.86,10.93,crosses_zero
aiReadinessModel,AI readiness associations,aiReadiness,state:NC,State: North Carolina vs California,state,state,NC,CA,-10.13,-20.33,2.0,crosses_zero
aiReadinessModel,AI readiness associations,aiReadiness,state:PA,State: Pennsylvania vs California,state,state,PA,CA,10.13,-4.51,21.84,crosses_zero
aiReadinessModel,AI readiness associations,aiReadiness,state:NM,State: New Mexico vs California,state,state,NM,CA,-13.84,-24.75,-1.13,negative
aiReadinessModel,AI readiness associations,aiReadiness,state:SC,State: South Carolina vs California,state,state,SC,CA,10.72,-0.85,19.52,crosses_zero
aiReadinessModel,AI readiness associations,aiReadiness,state:MA,State: Massachusetts vs California,state,state,MA,CA,10.58,0.45,16.03,positive
aiReadinessModel,AI readiness associations,aiReadiness,state:MO,State: Missouri vs California,state,state,MO,CA,-0.11,-6.55,6.14,crosses_zero
