metricId,metricLabel,overallMean,withinVariance,betweenVariance,state,stateName,sampleSize,rawMean,pooledMean,shrinkage,ciLow,ciHigh
aiReadiness,AI readiness,62.67,669.035,218.825,FL,Florida,9,86.11,80.17,0.746,65.57,94.77
aiReadiness,AI readiness,62.67,669.035,218.825,CA,California,18,81.48,78.75,0.855,67.7,89.8
aiReadiness,AI readiness,62.67,669.035,218.825,IL,Illinois,6,77.77,72.67,0.662,55.83,89.52
aiReadiness,AI readiness,62.67,669.035,218.825,NY,New York,9,75.01,71.88,0.746,57.28,86.48
aiReadiness,AI readiness,62.67,669.035,218.825,HI,Hawaii,1,100.0,71.87,0.246,46.7,97.04
aiReadiness,AI readiness,62.67,669.035,218.825,NV,Nevada,1,91.7,69.82,0.246,44.66,94.99
aiReadiness,AI readiness,62.67,669.035,218.825,AK,Alaska,2,79.15,69.19,0.395,46.64,91.73
aiReadiness,AI readiness,62.67,669.035,218.825,PA,Pennsylvania,6,72.22,69.0,0.662,52.15,85.84
aiReadiness,AI readiness,62.67,669.035,218.825,OK,Oklahoma,3,75.0,68.78,0.495,48.18,89.37
aiReadiness,AI readiness,62.67,669.035,218.825,DE,Delaware,3,75.0,68.78,0.495,48.18,89.37
aiReadiness,AI readiness,62.67,669.035,218.825,OH,Ohio,7,70.21,67.92,0.696,51.93,83.9
aiReadiness,AI readiness,62.67,669.035,218.825,VA,Virginia,2,70.85,65.9,0.395,43.36,88.45
aiReadiness,AI readiness,62.67,669.035,218.825,AZ,Arizona,1,75.0,65.71,0.246,40.54,90.88
aiReadiness,AI readiness,62.67,669.035,218.825,MA,Massachusetts,4,66.65,64.93,0.567,45.84,84.01
aiReadiness,AI readiness,62.67,669.035,218.825,WI,Wisconsin,2,66.7,64.26,0.395,41.72,86.81
aiReadiness,AI readiness,62.67,669.035,218.825,NE,Nebraska,2,66.7,64.26,0.395,41.72,86.81
aiReadiness,AI readiness,62.67,669.035,218.825,MO,Missouri,4,64.6,63.76,0.567,44.68,82.85
aiReadiness,AI readiness,62.67,669.035,218.825,WV,West Virginia,1,66.7,63.66,0.246,38.49,88.83
aiReadiness,AI readiness,62.67,669.035,218.825,CT,Connecticut,3,61.1,61.89,0.495,41.29,82.49
aiReadiness,AI readiness,62.67,669.035,218.825,CO,Colorado,1,58.3,61.59,0.246,36.42,86.76
aiReadiness,AI readiness,62.67,669.035,218.825,KY,Kentucky,2,58.35,60.96,0.395,38.42,83.5
aiReadiness,AI readiness,62.67,669.035,218.825,MD,Maryland,6,59.72,60.72,0.662,43.87,77.56
aiReadiness,AI readiness,62.67,669.035,218.825,SC,South Carolina,5,58.34,59.98,0.621,42.12,77.84
